n_classes,C,max_iter,seed,n_train,acc,xent,err
2,100.0,10000,5,2,0.8955,0.7208513156970591,0.10450000000000004
5,100.0,10000,5,2,0.2,inf,0.8
10,100.0,10000,5,2,0.1838,inf,0.8162
2,100.0,10000,6,2,0.7775,1.6682282742893757,0.22250000000000003
5,100.0,10000,6,2,0.3662,inf,0.6337999999999999
10,100.0,10000,6,2,0.1943,inf,0.8057
2,100.0,10000,7,2,0.639,3.1423861634324415,0.361
5,100.0,10000,7,2,0.3248,inf,0.6752
10,100.0,10000,7,2,0.1921,inf,0.8079000000000001
2,100.0,10000,8,2,0.8615,0.9726772158155572,0.13849999999999996
5,100.0,10000,8,2,0.1994,inf,0.8006
10,100.0,10000,8,2,0.1833,inf,0.8167
2,100.0,10000,9,2,0.972,0.12481185236832668,0.028000000000000025
5,100.0,10000,9,2,0.2472,inf,0.7528
10,100.0,10000,9,2,0.1975,inf,0.8025
2,0.01,10000,0,3,0.503,79.64711295711639,0.497
5,0.01,10000,0,3,0.2,inf,0.8
10,0.01,10000,0,3,0.2414,inf,0.7585999999999999
2,0.01,10000,1,3,0.5015,65.98139801748042,0.49850000000000005
5,0.01,10000,1,3,0.2006,inf,0.7994
10,0.01,10000,1,3,0.2319,inf,0.7681
2,0.01,10000,2,3,0.5,107.46571811179359,0.5
5,0.01,10000,2,3,0.2,inf,0.8
10,0.01,10000,2,3,0.1022,inf,0.8978
2,0.01,10000,3,3,0.5,inf,0.5
5,0.01,10000,3,3,0.4722,inf,0.5278
10,0.01,10000,3,3,0.2709,inf,0.7291000000000001
2,0.01,10000,4,3,0.5,64.28651006214722,0.5
5,0.01,10000,4,3,0.2,inf,0.8
10,0.01,10000,4,3,0.1001,inf,0.8999
2,0.01,10000,5,3,0.5,inf,0.5
5,0.01,10000,5,3,0.2022,inf,0.7978000000000001
10,0.01,10000,5,3,0.2126,inf,0.7874
2,0.01,10000,6,3,0.5,inf,0.5
5,0.01,10000,6,3,0.2,inf,0.8
10,0.01,10000,6,3,0.2735,inf,0.7264999999999999
2,0.01,10000,7,3,0.501,37.72585798026524,0.499
5,0.01,10000,7,3,0.4078,inf,0.5922000000000001
10,0.01,10000,7,3,0.1,inf,0.9
2,0.01,10000,8,3,0.501,48.01921910665628,0.499
5,0.01,10000,8,3,0.2162,inf,0.7838
10,0.01,10000,8,3,0.1864,inf,0.8136
2,0.01,10000,9,3,0.5,inf,0.5
5,0.01,10000,9,3,0.4768,inf,0.5232
10,0.01,10000,9,3,0.2679,inf,0.7321
2,1.0,10000,0,3,0.9135,1.0522865999819924,0.08650000000000002
5,1.0,10000,0,3,0.2862,inf,0.7138
10,1.0,10000,0,3,0.2425,inf,0.7575000000000001
2,1.0,10000,1,3,0.829,1.9796335209476246,0.17100000000000004
5,1.0,10000,1,3,0.4352,inf,0.5648
10,1.0,10000,1,3,0.2835,inf,0.7165
2,1.0,10000,2,3,0.819,2.28278756610763,0.18100000000000005
5,1.0,10000,2,3,0.24,inf,0.76
10,1.0,10000,2,3,0.1937,inf,0.8063
2,1.0,10000,3,3,0.776,4.054657088594604,0.22399999999999998
5,1.0,10000,3,3,0.2882,inf,0.7118
10,1.0,10000,3,3,0.2279,inf,0.7721
2,1.0,10000,4,3,0.7175,5.114981475836045,0.2825
5,1.0,10000,4,3,0.3632,inf,0.6368
10,1.0,10000,4,3,0.2733,inf,0.7267
2,1.0,10000,5,3,0.8275,2.0681154262803783,0.1725
5,1.0,10000,5,3,0.4338,inf,0.5662
10,1.0,10000,5,3,0.2699,inf,0.7301
2,1.0,10000,6,3,0.5,inf,0.5
5,1.0,10000,6,3,0.5258,inf,0.47419999999999995
10,1.0,10000,6,3,0.204,inf,0.796
2,1.0,10000,7,3,0.5,inf,0.5
5,1.0,10000,7,3,0.2,inf,0.8
10,1.0,10000,7,3,0.1843,inf,0.8157
2,1.0,10000,8,3,0.9315,0.5715169663759294,0.0685
5,1.0,10000,8,3,0.5238,inf,0.47619999999999996
10,1.0,10000,8,3,0.2761,inf,0.7239
2,1.0,10000,9,3,0.5,inf,0.5
5,1.0,10000,9,3,0.3606,inf,0.6394
10,1.0,10000,9,3,0.2483,inf,0.7517
2,100.0,10000,0,3,0.767,1.991230776386342,0.23299999999999998
5,100.0,10000,0,3,0.4792,inf,0.5207999999999999
10,100.0,10000,0,3,0.1669,inf,0.8331
2,100.0,10000,1,3,0.5,inf,0.5
5,100.0,10000,1,3,0.3318,inf,0.6682
10,100.0,10000,1,3,0.2829,inf,0.7171000000000001
2,100.0,10000,2,3,0.5,inf,0.5
5,100.0,10000,2,3,0.556,inf,0.44399999999999995
10,100.0,10000,2,3,0.2179,inf,0.7821
2,100.0,10000,3,3,0.7815,2.44378743938551,0.21850000000000003
5,100.0,10000,3,3,0.297,inf,0.7030000000000001
10,100.0,10000,3,3,0.2562,inf,0.7438
2,100.0,10000,4,3,0.5375,10.603798853644209,0.4625
5,100.0,10000,4,3,0.5682,inf,0.43179999999999996
10,100.0,10000,4,3,0.2538,inf,0.7462
2,100.0,10000,5,3,0.5,inf,0.5
5,100.0,10000,5,3,0.3854,inf,0.6146
10,100.0,10000,5,3,0.2117,inf,0.7883
2,100.0,10000,6,3,0.5,inf,0.5
5,100.0,10000,6,3,0.2,inf,0.8
10,100.0,10000,6,3,0.1701,inf,0.8299
2,100.0,10000,7,3,0.5845,8.19791646737964,0.4155
5,100.0,10000,7,3,0.4892,inf,0.5107999999999999
10,100.0,10000,7,3,0.1968,inf,0.8032
2,100.0,10000,8,3,0.565,6.748912393897194,0.43500000000000005
5,100.0,10000,8,3,0.365,inf,0.635
10,100.0,10000,8,3,0.2351,inf,0.7649
2,100.0,10000,9,3,0.5,inf,0.5
5,100.0,10000,9,3,0.3214,inf,0.6786
10,100.0,10000,9,3,0.2878,inf,0.7121999999999999
2,0.01,10000,0,4,0.5,1.5000026984937782,0.5
5,0.01,10000,0,4,0.7064,inf,0.29359999999999997
10,0.01,10000,0,4,0.1003,inf,0.8996999999999999
2,0.01,10000,1,4,0.9765,0.11797911989946755,0.023499999999999965
5,0.01,10000,1,4,0.2012,inf,0.7988
10,0.01,10000,1,4,0.1155,inf,0.8845
2,0.01,10000,2,4,0.5,inf,0.5
5,0.01,10000,2,4,0.2064,inf,0.7936
10,0.01,10000,2,4,0.123,inf,0.877
2,0.01,10000,3,4,0.5,1.1473793826620549,0.5
5,0.01,10000,3,4,0.2012,inf,0.7988
10,0.01,10000,3,4,0.1663,inf,0.8337
2,0.01,10000,4,4,0.984,0.09150396821951243,0.016000000000000014
5,0.01,10000,4,4,0.3734,inf,0.6266
10,0.01,10000,4,4,0.1,inf,0.9
2,0.01,10000,5,4,0.5,1.3819486386980597,0.5
5,0.01,10000,5,4,0.3872,inf,0.6128
10,0.01,10000,5,4,0.3206,inf,0.6794
2,0.01,10000,6,4,0.5,inf,0.5
5,0.01,10000,6,4,0.2054,inf,0.7946
10,0.01,10000,6,4,0.3261,inf,0.6738999999999999
2,0.01,10000,7,4,0.5,1.022281030010333,0.5
5,0.01,10000,7,4,0.606,inf,0.394
10,0.01,10000,7,4,0.1037,inf,0.8963
2,0.01,10000,8,4,0.9865,0.06612936626765208,0.013499999999999956
5,0.01,10000,8,4,0.2008,inf,0.7992
10,0.01,10000,8,4,0.339,inf,0.661
2,0.01,10000,9,4,0.5,inf,0.5
5,0.01,10000,9,4,0.2,inf,0.8
10,0.01,10000,9,4,0.1002,inf,0.8998
2,1.0,10000,0,4,0.5,inf,0.5
5,1.0,10000,0,4,0.6998,inf,0.3002
10,1.0,10000,0,4,0.1614,inf,0.8386
2,1.0,10000,1,4,0.535,19.410392207480196,0.46499999999999997
5,1.0,10000,1,4,0.4394,inf,0.5606
10,1.0,10000,1,4,0.3156,inf,0.6844
2,1.0,10000,2,4,0.9455,0.5553835719283287,0.05449999999999999
5,1.0,10000,2,4,0.28,inf,0.72
10,1.0,10000,2,4,0.3406,inf,0.6594
2,1.0,10000,3,4,0.8665,1.4350264409785691,0.13349999999999995
5,1.0,10000,3,4,0.3652,inf,0.6348
10,1.0,10000,3,4,0.2556,inf,0.7444
2,1.0,10000,4,4,0.9795,0.16469195011857687,0.020499999999999963
5,1.0,10000,4,4,0.481,inf,0.519
10,1.0,10000,4,4,0.3289,inf,0.6711
2,1.0,10000,5,4,0.594,10.114918944858886,0.406
5,1.0,10000,5,4,0.4716,inf,0.5284
10,1.0,10000,5,4,0.1887,inf,0.8113
2,1.0,10000,6,4,0.7065,5.847291458629133,0.2935
5,1.0,10000,6,4,0.3288,inf,0.6712
10,1.0,10000,6,4,0.337,inf,0.663
2,1.0,10000,7,4,0.589,12.496892840319394,0.41100000000000003
5,1.0,10000,7,4,0.5994,inf,0.40059999999999996
10,1.0,10000,7,4,0.3668,inf,0.6332
2,1.0,10000,8,4,0.561,16.365825898800804,0.43899999999999995
5,1.0,10000,8,4,0.392,inf,0.608
10,1.0,10000,8,4,0.2372,inf,0.7628
2,1.0,10000,9,4,0.5715,11.676430245706193,0.4285
5,1.0,10000,9,4,0.661,inf,0.33899999999999997
10,1.0,10000,9,4,0.3192,inf,0.6808000000000001
2,100.0,10000,0,4,0.629,5.419102667188618,0.371
5,100.0,10000,0,4,0.4058,inf,0.5942000000000001
10,100.0,10000,0,4,0.3454,inf,0.6546000000000001
2,100.0,10000,1,4,0.934,0.5416192563994756,0.06599999999999995
5,100.0,10000,1,4,0.514,inf,0.486
10,100.0,10000,1,4,0.3506,inf,0.6494
2,100.0,10000,2,4,0.9645,0.2441750285839122,0.035499999999999976
5,100.0,10000,2,4,0.348,inf,0.652
10,100.0,10000,2,4,0.3029,inf,0.6971
2,100.0,10000,3,4,0.9815,0.12617830786573755,0.01849999999999996
5,100.0,10000,3,4,0.3996,inf,0.6004
10,100.0,10000,3,4,0.1897,inf,0.8103
2,100.0,10000,4,4,0.635,7.100149668156873,0.365
5,100.0,10000,4,4,0.6442,inf,0.3558
10,100.0,10000,4,4,0.2876,inf,0.7123999999999999
2,100.0,10000,5,4,0.5,inf,0.5
5,100.0,10000,5,4,0.3496,inf,0.6504
10,100.0,10000,5,4,0.2268,inf,0.7732
2,100.0,10000,6,4,0.544,8.046258266653744,0.45599999999999996
5,100.0,10000,6,4,0.4604,inf,0.5396000000000001
10,100.0,10000,6,4,0.2073,inf,0.7927
2,100.0,10000,7,4,0.9735,0.09434633202823417,0.026499999999999968
5,100.0,10000,7,4,0.4168,inf,0.5831999999999999
10,100.0,10000,7,4,0.3658,inf,0.6342
2,100.0,10000,8,4,0.5,inf,0.5
5,100.0,10000,8,4,0.3218,inf,0.6782
10,100.0,10000,8,4,0.2308,inf,0.7692
2,100.0,10000,9,4,0.53,10.742398391100272,0.47
5,100.0,10000,9,4,0.3852,inf,0.6148
10,100.0,10000,9,4,0.1955,inf,0.8045
2,0.01,10000,0,5,0.71,7.674674400294965,0.29000000000000004
5,0.01,10000,0,5,0.207,inf,0.793
10,0.01,10000,0,5,0.1204,inf,0.8796
2,0.01,10000,1,5,0.5,1.0249707661163465,0.5
5,0.01,10000,1,5,0.2036,inf,0.7964
10,0.01,10000,1,5,0.1131,inf,0.8869
2,0.01,10000,2,5,0.6465,14.750530249477535,0.35350000000000004
5,0.01,10000,2,5,0.2008,inf,0.7992
10,0.01,10000,2,5,0.1002,inf,0.8998
2,0.01,10000,3,5,0.8235,3.8249409691669527,0.1765
5,0.01,10000,3,5,0.2024,inf,0.7976
10,0.01,10000,3,5,0.3942,inf,0.6058
2,0.01,10000,4,5,0.686,8.998667614296556,0.31399999999999995
5,0.01,10000,4,5,0.3884,inf,0.6115999999999999
10,0.01,10000,4,5,0.3763,inf,0.6236999999999999
2,0.01,10000,5,5,0.5,0.9569490767276793,0.5
5,0.01,10000,5,5,0.2,inf,0.8
10,0.01,10000,5,5,0.101,inf,0.899
2,0.01,10000,6,5,0.5,1.4801579666562652,0.5
5,0.01,10000,6,5,0.3592,inf,0.6408
10,0.01,10000,6,5,0.1964,inf,0.8036
2,0.01,10000,7,5,0.8205,4.942422039671224,0.1795
5,0.01,10000,7,5,0.3718,inf,0.6282
10,0.01,10000,7,5,0.3643,inf,0.6356999999999999
2,0.01,10000,8,5,0.561,22.558631006039914,0.43899999999999995
5,0.01,10000,8,5,0.2146,inf,0.7854
