n_classes,C,max_iter,seed,n_train,acc,xent,err
10,1.0,10000,7,4,0.3087,inf,0.6913
2,1.0,10000,8,4,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,8,4,0.37643564356435644,inf,0.6235643564356436
10,1.0,10000,8,4,0.2018,inf,0.7982
2,1.0,10000,9,4,0.6195652173913043,11.066673724319894,0.3804347826086957
5,1.0,10000,9,4,0.24514851485148514,inf,0.7548514851485149
10,1.0,10000,9,4,0.3525,inf,0.6475
2,100.0,10000,0,4,0.7791501976284585,2.14162238919755,0.2208498023715415
5,100.0,10000,0,4,0.37405940594059406,inf,0.6259405940594059
10,100.0,10000,0,4,0.2121,inf,0.7879
2,100.0,10000,1,4,0.7554347826086957,2.4184661617557675,0.24456521739130432
5,100.0,10000,1,4,0.6796039603960397,inf,0.32039603960396035
10,100.0,10000,1,4,0.3596,inf,0.6404000000000001
2,100.0,10000,2,4,0.633893280632411,6.225360585150951,0.366106719367589
5,100.0,10000,2,4,0.714059405940594,inf,0.285940594059406
10,100.0,10000,2,4,0.3184,inf,0.6816
2,100.0,10000,3,4,0.9688735177865613,0.19188748254454077,0.031126482213438722
5,100.0,10000,3,4,0.3485148514851485,inf,0.6514851485148515
10,100.0,10000,3,4,0.3949,inf,0.6051
2,100.0,10000,4,4,0.47875494071146246,inf,0.5212450592885376
5,100.0,10000,4,4,0.5590099009900991,inf,0.44099009900990094
10,100.0,10000,4,4,0.2467,inf,0.7533
2,100.0,10000,5,4,0.9678853754940712,0.20454213498198467,0.032114624505928835
5,100.0,10000,5,4,0.5188118811881188,inf,0.48118811881188117
10,100.0,10000,5,4,0.2949,inf,0.7051000000000001
2,100.0,10000,6,4,0.6862648221343873,3.8391057278722323,0.31373517786561267
5,100.0,10000,6,4,0.546930693069307,inf,0.453069306930693
10,100.0,10000,6,4,0.3343,inf,0.6657
2,100.0,10000,7,4,0.7895256916996047,2.2710814185729853,0.21047430830039526
5,100.0,10000,7,4,0.6320792079207921,inf,0.3679207920792079
10,100.0,10000,7,4,0.3851,inf,0.6149
2,100.0,10000,8,4,0.9456521739130435,0.4592255594769462,0.05434782608695654
5,100.0,10000,8,4,0.69009900990099,inf,0.30990099009900995
10,100.0,10000,8,4,0.3418,inf,0.6582
2,100.0,10000,9,4,0.6408102766798419,5.543087984627128,0.3591897233201581
5,100.0,10000,9,4,0.3908910891089109,inf,0.6091089108910891
10,100.0,10000,9,4,0.2647,inf,0.7353000000000001
2,0.01,10000,0,5,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,0,5,0.39821782178217824,inf,0.6017821782178218
10,0.01,10000,0,5,0.4343,inf,0.5657
2,0.01,10000,1,5,0.6319169960474308,9.93801519892303,0.3680830039525692
5,0.01,10000,1,5,0.19188118811881189,inf,0.8081188118811882
10,0.01,10000,1,5,0.2022,inf,0.7978000000000001
2,0.01,10000,2,5,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,2,5,0.22455445544554456,inf,0.7754455445544555
10,0.01,10000,2,5,0.1119,inf,0.8881
2,0.01,10000,3,5,0.7984189723320159,3.6135635497645655,0.20158102766798414
5,0.01,10000,3,5,0.39702970297029705,inf,0.602970297029703
10,0.01,10000,3,5,0.1013,inf,0.8987
2,0.01,10000,4,5,0.5212450592885376,1.0104548248404355,0.4787549407114624
5,0.01,10000,4,5,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,4,5,0.0975,inf,0.9025
2,0.01,10000,5,5,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,5,5,0.2081188118811881,inf,0.7918811881188119
10,0.01,10000,5,5,0.2011,inf,0.7988999999999999
2,0.01,10000,6,5,0.6818181818181818,8.220378129282523,0.31818181818181823
5,0.01,10000,6,5,0.24198019801980197,inf,0.758019801980198
10,0.01,10000,6,5,0.1095,inf,0.8905
2,0.01,10000,7,5,0.8107707509881423,4.218750271665605,0.18922924901185767
5,0.01,10000,7,5,0.3940594059405941,inf,0.6059405940594059
10,0.01,10000,7,5,0.438,inf,0.562
2,0.01,10000,8,5,0.7905138339920948,3.914557670999829,0.20948616600790515
5,0.01,10000,8,5,0.21346534653465346,inf,0.7865346534653466
10,0.01,10000,8,5,0.1185,inf,0.8815
2,0.01,10000,9,5,0.6753952569169961,10.433285771469787,0.3246047430830039
5,0.01,10000,9,5,0.19683168316831684,inf,0.8031683168316832
10,0.01,10000,9,5,0.1004,inf,0.8996
2,1.0,10000,0,5,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,0,5,0.6958415841584158,inf,0.3041584158415842
10,1.0,10000,0,5,0.4611,inf,0.5388999999999999
2,1.0,10000,1,5,0.9619565217391305,0.43201690882388744,0.03804347826086951
5,1.0,10000,1,5,0.38554455445544555,inf,0.6144554455445544
10,1.0,10000,1,5,0.2685,inf,0.7315
2,1.0,10000,2,5,0.5563241106719368,12.10019919545817,0.44367588932806323
5,1.0,10000,2,5,0.7213861386138614,3.632768289550054,0.27861386138613864
10,1.0,10000,2,5,0.3856,inf,0.6144000000000001
2,1.0,10000,3,5,0.5454545454545454,11.04000279485469,0.4545454545454546
5,1.0,10000,3,5,0.6415841584158416,inf,0.3584158415841584
10,1.0,10000,3,5,0.2629,inf,0.7371
2,1.0,10000,4,5,0.866106719367589,1.5347699582440182,0.13389328063241102
5,1.0,10000,4,5,0.2974257425742574,inf,0.7025742574257425
10,1.0,10000,4,5,0.3722,inf,0.6278
2,1.0,10000,5,5,0.5340909090909091,18.55072360732028,0.46590909090909094
5,1.0,10000,5,5,0.624950495049505,inf,0.37504950495049505
10,1.0,10000,5,5,0.3191,inf,0.6809000000000001
2,1.0,10000,6,5,0.9767786561264822,0.3101558461358616,0.02322134387351782
5,1.0,10000,6,5,0.2623762376237624,inf,0.7376237623762376
10,1.0,10000,6,5,0.3347,inf,0.6653
2,1.0,10000,7,5,0.9767786561264822,0.17708408451297503,0.02322134387351782
5,1.0,10000,7,5,0.6994059405940594,inf,0.30059405940594064
10,1.0,10000,7,5,0.2808,inf,0.7192000000000001
2,1.0,10000,8,5,0.5321146245059288,17.89760650813872,0.46788537549407117
5,1.0,10000,8,5,0.3485148514851485,inf,0.6514851485148515
10,1.0,10000,8,5,0.3756,inf,0.6244000000000001
2,1.0,10000,9,5,0.9174901185770751,0.6069742245516614,0.08250988142292492
5,1.0,10000,9,5,0.6267326732673267,inf,0.37326732673267327
10,1.0,10000,9,5,0.4198,inf,0.5802
2,100.0,10000,0,5,0.9896245059288538,0.05464932176511269,0.01037549407114624
5,100.0,10000,0,5,0.5675247524752475,inf,0.4324752475247525
10,100.0,10000,0,5,0.4337,inf,0.5663
2,100.0,10000,1,5,0.9822134387351779,0.09437927441706992,0.017786561264822143
5,100.0,10000,1,5,0.27544554455445547,inf,0.7245544554455445
10,100.0,10000,1,5,0.2616,inf,0.7384
2,100.0,10000,2,5,0.5691699604743083,9.71613945330931,0.43083003952569165
5,100.0,10000,2,5,0.5867326732673267,inf,0.4132673267326733
10,100.0,10000,2,5,0.2694,inf,0.7306
