n_classes,C,max_iter,seed,n_train,acc,xent,err
10,0.01,10000,0,2,0.1822,inf,0.8178
2,0.01,10000,1,2,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,1,2,0.3045339560225725,inf,0.6954660439774275
10,0.01,10000,1,2,0.1147,inf,0.8853
2,0.01,10000,2,2,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,2,2,0.38412142440163455,inf,0.6158785755983655
10,0.01,10000,2,2,0.1664,inf,0.8336
2,0.01,10000,3,2,0.9881796690307328,0.07638788404398071,0.011820330969267157
5,0.01,10000,3,2,0.22086008951157812,inf,0.7791399104884219
10,0.01,10000,3,2,0.1824,inf,0.8176
2,0.01,10000,4,2,0.5366430260047281,inf,0.46335697399527187
5,0.01,10000,4,2,0.3539599143802296,inf,0.6460400856197703
10,0.01,10000,4,2,0.1009,inf,0.8991
2,0.01,10000,5,2,0.9943262411347518,0.02228066235674794,0.005673758865248235
5,0.01,10000,5,2,0.26230784199260554,inf,0.7376921580073945
10,0.01,10000,5,2,0.1239,inf,0.8761
2,0.01,10000,6,2,0.8297872340425532,0.5864129642632034,0.17021276595744683
5,0.01,10000,6,2,0.3446195757929558,inf,0.6553804242070442
10,0.01,10000,6,2,0.1607,inf,0.8392999999999999
2,0.01,10000,7,2,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,7,2,0.34598170850359994,inf,0.6540182914964001
10,0.01,10000,7,2,0.1783,inf,0.8217
2,0.01,10000,8,2,0.9891252955082742,0.08102352711894333,0.010874704491725784
5,0.01,10000,8,2,0.24187585133294415,inf,0.7581241486670558
10,0.01,10000,8,2,0.1508,inf,0.8492
2,0.01,10000,9,2,0.46335697399527187,inf,0.5366430260047281
5,0.01,10000,9,2,0.2858532788480249,inf,0.7141467211519751
10,0.01,10000,9,2,0.1405,inf,0.8594999999999999
2,1.0,10000,0,2,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,0,2,0.4055263669974703,inf,0.5944736330025298
10,1.0,10000,0,2,0.149,inf,0.851
2,1.0,10000,1,2,0.992434988179669,0.032596778477791064,0.00756501182033098
5,1.0,10000,1,2,0.28604786923525977,inf,0.7139521307647403
10,1.0,10000,1,2,0.1545,inf,0.8455
2,1.0,10000,2,2,0.46335697399527187,inf,0.5366430260047281
5,1.0,10000,2,2,0.3127067522864371,inf,0.6872932477135629
10,1.0,10000,2,2,0.0958,inf,0.9042
2,1.0,10000,3,2,0.7791962174940898,1.6243074424047947,0.22080378250591015
5,1.0,10000,3,2,0.2753453979373419,inf,0.7246546020626581
10,1.0,10000,3,2,0.1154,inf,0.8846
2,1.0,10000,4,2,0.9962174940898345,0.03418280881541908,0.00378250591016549
5,1.0,10000,4,2,0.25763767269896864,inf,0.7423623273010314
10,1.0,10000,4,2,0.0974,inf,0.9026
2,1.0,10000,5,2,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,5,2,0.40182914964000777,inf,0.5981708503599923
10,1.0,10000,5,2,0.1865,inf,0.8135
2,1.0,10000,6,2,0.975886524822695,0.29701744995861906,0.024113475177305
5,1.0,10000,6,2,0.3553220470908737,inf,0.6446779529091262
10,1.0,10000,6,2,0.101,inf,0.899
2,1.0,10000,7,2,0.9196217494089834,0.6034947960718972,0.08037825059101655
5,1.0,10000,7,2,0.20081727962638646,inf,0.7991827203736135
10,1.0,10000,7,2,0.1482,inf,0.8518
2,1.0,10000,8,2,0.9957446808510638,0.039587013080276234,0.004255319148936176
5,1.0,10000,8,2,0.35493286631640397,inf,0.645067133683596
10,1.0,10000,8,2,0.0982,inf,0.9018
2,1.0,10000,9,2,0.5366430260047281,inf,0.46335697399527187
5,1.0,10000,9,2,0.29324771356295,inf,0.70675228643705
10,1.0,10000,9,2,0.1482,inf,0.8518
2,100.0,10000,0,2,0.46335697399527187,inf,0.5366430260047281
5,100.0,10000,0,2,0.28624245962249467,inf,0.7137575403775054
10,100.0,10000,0,2,0.1101,inf,0.8899
2,100.0,10000,1,2,0.5366430260047281,inf,0.46335697399527187
5,100.0,10000,1,2,0.20081727962638646,inf,0.7991827203736135
10,100.0,10000,1,2,0.1693,inf,0.8307
